OGID	MCHA	HSAN	BMAS	BPEL	BLOR	BDAR	numSequences	numSpecies
OG0000081.1	XP_022138488.1_MCHA	HSAN14397_HSAN	Bma019920.3_BMAS	Bpe015886.2_BPEL	BLOR03931_BLOR	Bda017395.1_BDAR	6	6
OG0000083.0	XP_022141738.1_MCHA	HSAN16843_HSAN	Bma001052.2_BMAS	Bpe025158_BPEL	BLOR08679_BLOR	Bda032951_BDAR	6	6
OG0000085.0	XP_022153777.1_MCHA	HSAN07243_HSAN	Bma011283.1_BMAS	Bpe004304.1_BPEL	BLOR12111_BLOR	Bda025941.1_BDAR	6	6
OG0000097.0	XP_022139328.1_MCHA	HSAN11950_HSAN	Bma016621.1_BMAS	Bpe001967.1_BPEL	BLOR13233_BLOR	Bda027091.1_BDAR	6	6
OG0000101.0	XP_022146415.1_MCHA	HSAN18450_HSAN	Bma015513.1_BMAS	Bpe014611.1_BPEL	BLOR10471_BLOR	Bda000912.1_BDAR	6	6
OG0000107.0	XP_022135994.1_MCHA	HSAN11121_HSAN	Bma008177.1_BMAS	Bpe026069_BPEL	BLOR06845_BLOR	Bda023668.1_BDAR	6	6
OG0000113.0	XP_022139331.1_MCHA	HSAN26435_HSAN	Bma016554.1_BMAS	Bpe002038.1_BPEL	BLOR13175_BLOR	Bda027020.1_BDAR	6	6
OG0000116.0	XP_022151300.1_MCHA	HSAN26287_HSAN	Bma013409.1_BMAS	Bpe002893.1_BPEL	BLOR17215_BLOR	Bda015426.1_BDAR	6	6
OG0000121.0	XP_022142303.1_MCHA	HSAN21021_HSAN	Bma006307.1_BMAS	Bpe000885.1_BPEL	BLOR07249_BLOR	Bda014251.1_BDAR	6	6
OG0000127.0	XP_022134459.1_MCHA	HSAN12016_HSAN	Bma016551.1_BMAS	Bpe002042.1_BPEL	BLOR13172_BLOR	Bda033922_BDAR	6	6
OG0000129.0	XP_022148619.1_MCHA	HSAN18901_HSAN	Bma002997.2_BMAS	Bpe008422.1_BPEL	BLOR01370_BLOR	Bda002763.2_BDAR	6	6
OG0000134.0	XP_022133511.1_MCHA	HSAN18750_HSAN	Bma018839.1_BMAS	Bpe015054.1_BPEL	BLOR04798_BLOR	Bda016364.1_BDAR	6	6
OG0000134.1	XP_022133511.1_MCHA	HSAN05009_HSAN	Bma003393.1_BMAS	Bpe008057.1_BPEL	BLOR01736_BLOR	Bda005620.1_BDAR	6	6
OG0000134.2	XP_022133511.1_MCHA	HSAN01716_HSAN	Bma001809.1_BMAS	Bpe008959.1_BPEL	BLOR08638_BLOR	Bda002995.1_BDAR	6	6
OG0000134.3	XP_022133511.1_MCHA	HSAN09655_HSAN	Bma014613.1_BMAS	Bpe007085.1_BPEL	BLOR15960_BLOR	Bda000250.1_BDAR	6	6
OG0000139.0	XP_022143976.1_MCHA	HSAN09118_HSAN	Bma002690.1_BMAS	Bpe008618.1_BPEL	BLOR02876_BLOR	Bda002274.1_BDAR	6	6
OG0000155.0	XP_022142619.1_MCHA	HSAN16555_HSAN	Bma011414.1_BMAS	Bpe004322.1_BPEL	BLOR03015_BLOR	Bda025957.1_BDAR	6	6
OG0000171.0	XP_022141136.1_MCHA	HSAN12494_HSAN	Bma012895.1_BMAS	Bpe011957.1_BPEL	BLOR21027_BLOR	Bda028817.1_BDAR	6	6
OG0000183.0	XP_022150655.1_MCHA	HSAN17964_HSAN	Bma013331.2_BMAS	Bpe002980.1_BPEL	BLOR17293_BLOR	Bda033453_BDAR	6	6
OG0000183.1	XP_022131539.1_MCHA	HSAN00817_HSAN	Bma018876.1_BMAS	Bpe015086.1_BPEL	BLOR04769_BLOR	Bda016404.1_BDAR	6	6
OG0000183.2	XP_022156213.1_MCHA	HSAN06579_HSAN	Bma022535.1_BMAS	Bpe015198.1_BPEL	BLOR04657_BLOR	Bda016534.1_BDAR	6	6
OG0000185.0	XP_022150694.1_MCHA	HSAN14045_HSAN	Bma016679.1_BMAS	Bpe001921.1_BPEL	BLOR13287_BLOR	Bda027150.1_BDAR	6	6
OG0000188.0	XP_022145549.1_MCHA	HSAN12485_HSAN	Bma012865.2_BMAS	Bpe011985.1_BPEL	BLOR20990_BLOR	Bda028865.2_BDAR	6	6
OG0000190.0	XP_022151206.1_MCHA	HSAN19886_HSAN	Bma012378.2_BMAS	Bpe004958.2_BPEL	BLOR03657_BLOR	Bda028307.1_BDAR	6	6
OG0000190.1	XP_022151206.1_MCHA	HSAN20751_HSAN	Bma023674.1_BMAS	Bpe011069.1_BPEL	BLOR21900_BLOR	Bda007719.1_BDAR	6	6
OG0000191.1	XP_022140104.1_MCHA	HSAN16260_HSAN	Bma011498.1_BMAS	Bpe004464.1_BPEL	BLOR03151_BLOR	Bda026124.1_BDAR	6	6
OG0000194.0	XP_022159700.1_MCHA	HSAN13968_HSAN	Bma030340_BMAS	Bpe012847.2_BPEL	BLOR19002_BLOR	Bda022049.1_BDAR	6	6
OG0000197.0	XP_022138269.1_MCHA	HSAN25350_HSAN	Bma003211.1_BMAS	Bpe008209.1_BPEL	BLOR01581_BLOR	Bda002515.1_BDAR	6	6
OG0000202.0	XP_022144449.1_MCHA	HSAN21987_HSAN	Bma029809.1_BMAS	Bpe020004.1_BPEL	BLOR15287_BLOR	Bda019563.1_BDAR	6	6
OG0000202.1	XP_022135182.1_MCHA	HSAN13100_HSAN	Bma027288.1_BMAS	Bpe005728.1_BPEL	BLOR17748_BLOR	Bda012535.1_BDAR	6	6
OG0000203.0	XP_022146441.1_MCHA	HSAN03217_HSAN	Bma024227.1_BMAS	Bpe010689.3_BPEL	BLOR21541_BLOR	Bda004903.1_BDAR	6	6
OG0000203.1	XP_022147025.1_MCHA	HSAN21513_HSAN	Bma024367.1_BMAS	Bpe010570.1_BPEL	BLOR07897_BLOR	Bda005034.1_BDAR	6	6
OG0000210.0	XP_022144626.1_MCHA	HSAN22817_HSAN	Bma015983.1_BMAS	Bpe014278.1_BPEL	BLOR10018_BLOR	Bda001327.1_BDAR	6	6
OG0000220.0	XP_022148933.1_MCHA	HSAN05287_HSAN	Bma026674.1_BMAS	Bpe023328.1_BPEL	BLOR12564_BLOR	Bda030892.1_BDAR	6	6
OG0000221.0	XP_022142263.1_MCHA	HSAN07365_HSAN	Bma024780.2_BMAS	Bpe022112.1_BPEL	BLOR20040_BLOR	Bda032708.1_BDAR	6	6
OG0000222.0	XP_022131809.1_MCHA	HSAN07852_HSAN	Bma015059.1_BMAS	Bpe006929.1_BPEL	BLOR16097_BLOR	Bda000457.1_BDAR	6	6
OG0000230.0	XP_022148035.1_MCHA	HSAN07578_HSAN	Bma027774.1_BMAS	Bpe005520.1_BPEL	BLOR05592_BLOR	Bda012751.1_BDAR	6	6
OG0000232.0	XP_022150947.1_MCHA	HSAN17995_HSAN	Bma010980.1_BMAS	Bpe004076.1_BPEL	BLOR12359_BLOR	Bda025646.1_BDAR	6	6
OG0000237.0	XP_022143736.1_MCHA	HSAN09057_HSAN	Bma002609.1_BMAS	Bpe008681.1_BPEL	BLOR01122_BLOR	Bda002166.1_BDAR	6	6
OG0000246.0	XP_022136398.1_MCHA	HSAN20675_HSAN	Bma014286.1_BMAS	Bpe002413.1_BPEL	BLOR16712_BLOR	Bda006588.1_BDAR	6	6
OG0000253.1	XP_022151244.1_MCHA	HSAN19895_HSAN	Bma012390.1_BMAS	Bpe004967.1_BPEL	BLOR03665_BLOR	Bda028319.1_BDAR	6	6
OG0000254.0	XP_022155291.1_MCHA	HSAN16017_HSAN	Bma008763.1_BMAS	Bpe003535.1_BPEL	BLOR01860_BLOR	Bda009790.1_BDAR	6	6
OG0000267.0	XP_022138098.1_MCHA	HSAN14400_HSAN	Bma031133_BMAS	Bpe015920.1_BPEL	BLOR03930_BLOR	Bda017396.1_BDAR	6	6
OG0000272.0	XP_022156143.1_MCHA	HSAN14971_HSAN	Bma006541.1_BMAS	Bpe015840.1_BPEL	BLOR04054_BLOR	Bda017350.1_BDAR	6	6
OG0000275.0	XP_022143812.1_MCHA	HSAN06114_HSAN	Bma003919.1_BMAS	Bpe012945.1_BPEL	BLOR19120_BLOR	Bda022139.1_BDAR	6	6
OG0000275.1	XP_022143812.1_MCHA	HSAN09067_HSAN	Bma002621.1_BMAS	Bpe008672.1_BPEL	BLOR01136_BLOR	Bda002172.1_BDAR	6	6
OG0000276.0	XP_022141988.1_MCHA	HSAN02815_HSAN	Bma010808.1_BMAS	Bpe004219.1_BPEL	BLOR12215_BLOR	Bda025835.1_BDAR	6	6
OG0000277.0	XP_022157655.1_MCHA	HSAN08886_HSAN	Bma028212.1_BMAS	Bpe005278.2_BPEL	BLOR19649_BLOR	Bda011813.1_BDAR	6	6
OG0000280.0	XP_022151101.1_MCHA	HSAN08347_HSAN	Bma000228.1_BMAS	Bpe010197.1_BPEL	BLOR00405_BLOR	Bda004576.1_BDAR	6	6
OG0000285.0	XP_022158262.1_MCHA	HSAN20701_HSAN	Bma011791.1_BMAS	Bpe004625.1_BPEL	BLOR03306_BLOR	Bda026329.1_BDAR	6	6
OG0000286.0	XP_022147814.1_MCHA	HSAN03331_HSAN	Bma016237.1_BMAS	Bpe014022.1_BPEL	BLOR16580_BLOR	Bda001606.1_BDAR	6	6
OG0000287.0	XP_022134182.1_MCHA	HSAN14546_HSAN	Bma031080_BMAS	Bpe014777.2_BPEL	BLOR05097_BLOR	Bda016005.1_BDAR	6	6
OG0000291.0	XP_022136074.1_MCHA	HSAN23381_HSAN	Bma021036.1_BMAS	Bpe017620.1_BPEL	BLOR08199_BLOR	Bda029811.1_BDAR	6	6
OG0000296.0	XP_022147985.1_MCHA	HSAN22109_HSAN	Bma010017.1_BMAS	Bpe023919.2_BPEL	BLOR02536_BLOR	Bda009335.1_BDAR	6	6
OG0000297.0	XP_022139541.1_MCHA	HSAN12676_HSAN	Bma018697.1_BMAS	Bpe014958.1_BPEL	BLOR04905_BLOR	Bda016246.1_BDAR	6	6
OG0000298.0	XP_022134204.1_MCHA	HSAN03491_HSAN	Bma009766.1_BMAS	Bpe024056.1_BPEL	BLOR02357_BLOR	Bda009079.1_BDAR	6	6
OG0000305.0	XP_022141174.1_MCHA	HSAN13838_HSAN	Bma005269.1_BMAS	Bpe012141.1_BPEL	BLOR18345_BLOR	Bda020661.1_BDAR	6	6
OG0000311.0	XP_022133722.1_MCHA	HSAN26404_HSAN	Bma030595_BMAS	Bpe026229_BPEL	BLOR02217_BLOR	Bda010255.1_BDAR	6	6
OG0000318.0	XP_022151536.1_MCHA	HSAN19331_HSAN	Bma002529.3_BMAS	Bpe008720.2_BPEL	BLOR01088_BLOR	Bda002079.1_BDAR	6	6
OG0000320.1	XP_022141311.1_MCHA	HSAN23340_HSAN	Bma005153.1_BMAS	Bpe012219.1_BPEL	BLOR18413_BLOR	Bda011633.1_BDAR	6	6
OG0000327.0	XP_022138231.1_MCHA	HSAN24621_HSAN	Bma000857.1_BMAS	Bpe009636.1_BPEL	BLOR09175_BLOR	Bda003883.1_BDAR	6	6
OG0000333.0	XP_022148935.1_MCHA	HSAN05414_HSAN	Bma030814_BMAS	Bpe024681_BPEL	BLOR17116_BLOR	Bda033431_BDAR	6	6
OG0000342.0	XP_022138419.1_MCHA	HSAN09716_HSAN	Bma000871.1_BMAS	Bpe009625.1_BPEL	BLOR09192_BLOR	Bda003875.1_BDAR	6	6
OG0000344.0	XP_022140889.1_MCHA	HSAN22753_HSAN	Bma003259.1_BMAS	Bpe008173.1_BPEL	BLOR01614_BLOR	Bda002468.2_BDAR	6	6
OG0000344.1	XP_022145346.1_MCHA	HSAN18401_HSAN	Bma022698.1_BMAS	Bpe006522.1_BPEL	BLOR07346_BLOR	Bda008748.1_BDAR	6	6
OG0000349.0	XP_022158023.1_MCHA	HSAN11921_HSAN	Bma008552.1_BMAS	Bpe021853.1_BPEL	BLOR06487_BLOR	Bda024099.1_BDAR	6	6
OG0000349.1	XP_022134837.1_MCHA	HSAN18831_HSAN	Bma008430.1_BMAS	Bpe021734.1_BPEL	BLOR06599_BLOR	Bda024026.1_BDAR	6	6
OG0000351.0	XP_022156477.1_MCHA	HSAN16868_HSAN	Bma021872.2_BMAS	Bpe018006.2_BPEL	BLOR10781_BLOR	Bda029027.1_BDAR	6	6
OG0000357.0	XP_022159793.1_MCHA	HSAN14565_HSAN	Bma018530.1_BMAS	Bpe025572_BPEL	BLOR05084_BLOR	Bda016018.1_BDAR	6	6
OG0000361.0	XP_022131823.1_MCHA	HSAN26781_HSAN	Bma023506.1_BMAS	Bpe011169.1_BPEL	BLOR21973_BLOR	Bda033147_BDAR	6	6
OG0000361.1	XP_022131823.1_MCHA	HSAN15661_HSAN	Bma030162_BMAS	Bpe010223.1_BPEL	BLOR00375_BLOR	Bda004535.1_BDAR	6	6
OG0000361.2	XP_022133865.1_MCHA	HSAN24067_HSAN	Bma011993.1_BMAS	Bpe004860.1_BPEL	BLOR03516_BLOR	Bda026625.1_BDAR	6	6
OG0000367.0	XP_022151421.1_MCHA	HSAN02081_HSAN	Bma003765.1_BMAS	Bpe013076.1_BPEL	BLOR19226_BLOR	Bda022283.1_BDAR	6	6
OG0000367.1	XP_022150557.1_MCHA	HSAN14736_HSAN	Bma016675.1_BMAS	Bpe001922.1_BPEL	BLOR13283_BLOR	Bda027148.1_BDAR	6	6
OG0000371.1	XP_022139250.1_MCHA	HSAN02743_HSAN	Bma028366.2_BMAS	Bpe016581.1_BPEL	BLOR19779_BLOR	Bda011954.1_BDAR	6	6
OG0000371.2	XP_022139250.1_MCHA	HSAN11960_HSAN	Bma016610.1_BMAS	Bpe001978.1_BPEL	BLOR13224_BLOR	Bda027080.1_BDAR	6	6
OG0000376.1	XP_022143613.1_MCHA	HSAN21374_HSAN	Bma029558.1_BMAS	Bpe019852.1_BPEL	BLOR15432_BLOR	Bda019413.1_BDAR	6	6
OG0000377.0	XP_022135484.1_MCHA	HSAN02199_HSAN	Bma024032.1_BMAS	Bpe010849.1_BPEL	BLOR21702_BLOR	Bda004736.1_BDAR	6	6
OG0000381.0	XP_022138841.1_MCHA	HSAN20115_HSAN	Bma015463.1_BMAS	Bpe025551_BPEL	BLOR10494_BLOR	Bda000887.3_BDAR	6	6
OG0000383.0	XP_022142409.1_MCHA	HSAN09029_HSAN	Bma011329.1_BMAS	Bpe004391.1_BPEL	BLOR03081_BLOR	Bda026040.1_BDAR	6	6
OG0000397.0	XP_022149242.1_MCHA	HSAN20511_HSAN	Bma020642.1_BMAS	Bpe006006.2_BPEL	BLOR05581_BLOR	Bda012293.1_BDAR	6	6
OG0000399.0	XP_022152860.1_MCHA	HSAN02896_HSAN	Bma024938.1_BMAS	Bpe022270.1_BPEL	BLOR20187_BLOR	Bda032526.1_BDAR	6	6
OG0000399.1	XP_022152860.1_MCHA	HSAN18079_HSAN	Bma005660.1_BMAS	Bpe000205.1_BPEL	BLOR14517_BLOR	Bda006175.1_BDAR	6	6
OG0000401.0	XP_022158722.1_MCHA	HSAN25697_HSAN	Bma008702.1_BMAS	Bpe024743_BPEL	BLOR01806_BLOR	Bda009719.1_BDAR	6	6
OG0000402.0	XP_022157343.1_MCHA	HSAN23715_HSAN	Bma005787.3_BMAS	Bpe000335.1_BPEL	BLOR14629_BLOR	Bda006026.1_BDAR	6	6
OG0000406.0	XP_022148394.1_MCHA	HSAN03460_HSAN	Bma000443.1_BMAS	Bpe009982.1_BPEL	BLOR00586_BLOR	Bda004298.1_BDAR	6	6
OG0000408.0	XP_022150844.1_MCHA	HSAN06832_HSAN	Bma017370.1_BMAS	Bpe001349.1_BPEL	BLOR13868_BLOR	Bda027857.1_BDAR	6	6
OG0000408.1	XP_022150844.1_MCHA	HSAN24518_HSAN	Bma023346.1_BMAS	Bpe006120.3_BPEL	BLOR07787_BLOR	Bda007933.1_BDAR	6	6
OG0000411.0	XP_022155889.1_MCHA	HSAN18055_HSAN	Bma018757.1_BMAS	Bpe025600_BPEL	BLOR04860_BLOR	Bda016295.1_BDAR	6	6
OG0000416.0	XP_022134985.1_MCHA	HSAN24276_HSAN	Bma016075.1_BMAS	Bpe014188.1_BPEL	BLOR09936_BLOR	Bda001428.1_BDAR	6	6
OG0000424.0	XP_022151658.1_MCHA	HSAN23821_HSAN	Bma003604.1_BMAS	Bpe025041_BPEL	BLOR03009_BLOR	Bda005424.1_BDAR	6	6
OG0000425.0	XP_022131926.1_MCHA	HSAN17258_HSAN	Bma014603.1_BMAS	Bpe007098.1_BPEL	BLOR15945_BLOR	Bda000235.1_BDAR	6	6
OG0000425.1	XP_022131926.1_MCHA	HSAN10302_HSAN	Bma022756.1_BMAS	Bpe006589.1_BPEL	BLOR07277_BLOR	Bda008841.2_BDAR	6	6
OG0000434.0	XP_022147881.1_MCHA	HSAN14769_HSAN	Bma030800_BMAS	Bpe002866.1_BPEL	BLOR17188_BLOR	Bda015399.1_BDAR	6	6
OG0000440.0	XP_022145950.1_MCHA	HSAN25696_HSAN	Bma030552_BMAS	Bpe003596.1_BPEL	BLOR01805_BLOR	Bda009717.2_BDAR	6	6
OG0000445.0	XP_022132321.1_MCHA	HSAN20708_HSAN	Bma001577.3_BMAS	Bpe009119.1_BPEL	BLOR08497_BLOR	Bda003171.1_BDAR	6	6
OG0000457.0	XP_022145238.1_MCHA	HSAN14309_HSAN	Bma024537.1_BMAS	Bpe025238_BPEL	BLOR18023_BLOR	Bda033032_BDAR	6	6
OG0000458.0	XP_022148361.1_MCHA	HSAN08149_HSAN	Bma026823.3_BMAS	Bpe023477.3_BPEL	BLOR12427_BLOR	Bda030709.3_BDAR	6	6
OG0000458.1	XP_022148361.1_MCHA	HSAN17880_HSAN	Bma030667_BMAS	Bpe024786_BPEL	BLOR12320_BLOR	Bda025722.1_BDAR	6	6
OG0000459.0	XP_022148942.1_MCHA	HSAN08186_HSAN	Bma030829_BMAS	Bpe024654_BPEL	BLOR16738_BLOR	Bda007280.1_BDAR	6	6
OG0000461.0	XP_022134612.1_MCHA	HSAN05998_HSAN	Bma008307.1_BMAS	Bpe021602.1_BPEL	BLOR06732_BLOR	Bda023777.1_BDAR	6	6
OG0000469.0	XP_022144451.1_MCHA	HSAN06070_HSAN	Bma001403.1_BMAS	Bpe009235.1_BPEL	BLOR08949_BLOR	Bda003297.2_BDAR	6	6
OG0000470.0	XP_022156460.1_MCHA	HSAN19568_HSAN	Bma021876.2_BMAS	Bpe018011.2_BPEL	BLOR10785_BLOR	Bda029021.1_BDAR	6	6
OG0000481.0	XP_022151670.1_MCHA	HSAN01112_HSAN	Bma018927.1_BMAS	Bpe015233.1_BPEL	BLOR04610_BLOR	Bda016571.1_BDAR	6	6
OG0000484.0	XP_022135268.1_MCHA	HSAN17506_HSAN	Bma005653.1_BMAS	Bpe000198.1_BPEL	BLOR14509_BLOR	Bda006183.2_BDAR	6	6
OG0000490.0	XP_022141990.1_MCHA	HSAN16314_HSAN	Bma018275.1_BMAS	Bpe000931.1_BPEL	BLOR14313_BLOR	Bda011507.1_BDAR	6	6
OG0000494.0	XP_022149119.1_MCHA	HSAN22427_HSAN	Bma013078.1_BMAS	Bpe003221.1_BPEL	BLOR17528_BLOR	Bda028366.1_BDAR	6	6
OG0000495.0	XP_022147464.1_MCHA	HSAN02144_HSAN	Bma015867.1_BMAS	Bpe025528_BPEL	BLOR10094_BLOR	Bda001232.1_BDAR	6	6
OG0000509.0	XP_022140116.1_MCHA	HSAN08526_HSAN	Bma005479.1_BMAS	Bpe000019.2_BPEL	BLOR14324_BLOR	Bda006380.1_BDAR	6	6
OG0000517.0	XP_022147225.1_MCHA	HSAN02141_HSAN	Bma024310.1_BMAS	Bpe010628.1_BPEL	BLOR07835_BLOR	Bda033017_BDAR	6	6
OG0000531.0	XP_022158569.1_MCHA	HSAN09457_HSAN	Bma004289.1_BMAS	Bpe012675.1_BPEL	BLOR18809_BLOR	Bda021826.1_BDAR	6	6
OG0000540.0	XP_022136794.1_MCHA	HSAN21093_HSAN	Bma014421.1_BMAS	Bpe002325.2_BPEL	BLOR16614_BLOR	Bda033098_BDAR	6	6
OG0000540.1	XP_022136794.1_MCHA	HSAN22993_HSAN	Bma022995.1_BMAS	Bpe006262.1_BPEL	BLOR07577_BLOR	Bda008372.1_BDAR	6	6
OG0000549.1	XP_022141455.1_MCHA	HSAN01679_HSAN	Bma014664.1_BMAS	Bpe007047.2_BPEL	BLOR15816_BLOR	Bda000314.1_BDAR	6	6
OG0000550.0	XP_022145640.1_MCHA	HSAN04547_HSAN	Bma019143.1_BMAS	Bpe015386.1_BPEL	BLOR04458_BLOR	Bda016754.2_BDAR	6	6
OG0000552.0	XP_022143711.1_MCHA	HSAN17694_HSAN	Bma002619.1_BMAS	Bpe008674.1_BPEL	BLOR01131_BLOR	Bda002182.1_BDAR	6	6
OG0000555.0	XP_022154838.1_MCHA	HSAN08721_HSAN	Bma030018.1_BMAS	Bpe020167.1_BPEL	BLOR15115_BLOR	Bda019799.1_BDAR	6	6
OG0000562.0	XP_022154884.1_MCHA	HSAN23650_HSAN	Bma026878.1_BMAS	Bpe023526.2_BPEL	BLOR12384_BLOR	Bda030657.1_BDAR	6	6
OG0000564.0	XP_022145028.1_MCHA	HSAN00554_HSAN	Bma025282.1_BMAS	Bpe022568.1_BPEL	BLOR20458_BLOR	Bda032183.1_BDAR	6	6
OG0000564.1	XP_022145028.1_MCHA	HSAN02220_HSAN	Bma005998.1_BMAS	Bpe024502_BPEL	BLOR05940_BLOR	Bda005858.1_BDAR	6	6
OG0000571.0	XP_022147574.1_MCHA	HSAN19232_HSAN	Bma023927.1_BMAS	Bpe010918.1_BPEL	BLOR21769_BLOR	Bda007508.1_BDAR	6	6
OG0000582.0	XP_022140957.1_MCHA	HSAN00761_HSAN	Bma008496.1_BMAS	Bpe021806.1_BPEL	BLOR06541_BLOR	Bda023940.1_BDAR	6	6
OG0000590.0	XP_022155180.1_MCHA	HSAN05523_HSAN	Bma004867.1_BMAS	Bpe012373.1_BPEL	BLOR20872_BLOR	Bda021440.1_BDAR	6	6
OG0000592.0	XP_022137413.1_MCHA	HSAN18270_HSAN	Bma003974.1_BMAS	Bpe012905.1_BPEL	BLOR19071_BLOR	Bda022084.1_BDAR	6	6
OG0000592.1	XP_022137413.1_MCHA	HSAN25868_HSAN	Bma019216.1_BMAS	Bpe015435.1_BPEL	BLOR04410_BLOR	Bda016805.1_BDAR	6	6
OG0000599.0	XP_022138005.1_MCHA	HSAN10605_HSAN	Bma024697.1_BMAS	Bpe010283.1_BPEL	BLOR18171_BLOR	Bda005349.1_BDAR	6	6
OG0000603.1	XP_022133919.1_MCHA	HSAN18635_HSAN	Bma016390.1_BMAS	Bpe002197.1_BPEL	BLOR13016_BLOR	Bda026846.1_BDAR	6	6
OG0000604.0	XP_022150998.1_MCHA	HSAN15868_HSAN	Bma010178.2_BMAS	Bpe023846.2_BPEL	BLOR02623_BLOR	Bda009446.2_BDAR	6	6
OG0000606.0	XP_022146311.1_MCHA	HSAN04982_HSAN	Bma027107.1_BMAS	Bpe005907.2_BPEL	BLOR05405_BLOR	Bda012398.1_BDAR	6	6
OG0000615.0	XP_022155048.1_MCHA	HSAN24722_HSAN	Bma001360.1_BMAS	Bpe009272.1_BPEL	BLOR08914_BLOR	Bda003391.1_BDAR	6	6
OG0000618.0	XP_022143046.1_MCHA	HSAN08754_HSAN	Bma011846.1_BMAS	Bpe004662.1_BPEL	BLOR03376_BLOR	Bda026384.1_BDAR	6	6
OG0000619.0	XP_022133625.1_MCHA	HSAN26552_HSAN	Bma008840.1_BMAS	Bpe003457.1_BPEL	BLOR01926_BLOR	Bda009886.1_BDAR	6	6
OG0000621.0	XP_022141710.1_MCHA	HSAN23597_HSAN	Bma001015.1_BMAS	Bpe009499.1_BPEL	BLOR08660_BLOR	Bda003707.2_BDAR	6	6
OG0000631.0	XP_022153396.1_MCHA	HSAN18916_HSAN	Bma009597.1_BMAS	Bpe024131.2_BPEL	BLOR02313_BLOR	Bda010483.1_BDAR	6	6
OG0000632.0	XP_022147840.1_MCHA	HSAN17118_HSAN	Bma017796.1_BMAS	Bpe001095.1_BPEL	BLOR14135_BLOR	Bda011138.1_BDAR	6	6
OG0000633.0	XP_022142355.1_MCHA	HSAN15853_HSAN	Bma005817.2_BMAS	Bpe000365.1_BPEL	BLOR14663_BLOR	Bda005990.2_BDAR	6	6
OG0000635.0	XP_022148337.1_MCHA	HSAN10761_HSAN	Bma005561.1_BMAS	Bpe000104.1_BPEL	BLOR14415_BLOR	Bda006281.1_BDAR	6	6
OG0000638.0	XP_022147063.1_MCHA	HSAN20962_HSAN	Bma024354.1_BMAS	Bpe010581.1_BPEL	BLOR07886_BLOR	Bda005023.1_BDAR	6	6
OG0000645.0	XP_022155577.1_MCHA	HSAN08173_HSAN	Bma013768.1_BMAS	Bpe002656.1_BPEL	BLOR16929_BLOR	Bda007316.1_BDAR	6	6
OG0000651.0	XP_022137083.1_MCHA	HSAN18956_HSAN	Bma022825.1_BMAS	Bpe006369.1_BPEL	BLOR07468_BLOR	Bda008555.1_BDAR	6	6
OG0000652.0	XP_022138916.1_MCHA	HSAN12011_HSAN	Bma016557.1_BMAS	Bpe002036.1_BPEL	BLOR13177_BLOR	Bda027022.1_BDAR	6	6
OG0000655.1	XP_022143146.1_MCHA	HSAN05601_HSAN	Bma011885.1_BMAS	Bpe004679.2_BPEL	BLOR03352_BLOR	Bda026407.1_BDAR	6	6
